step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
195,2.732,2,1.529,3,0.927,2,17,0.276,0.195,0.523,0.045,0.043,0.054,0.565
196,3.918,3,2.118,4,1.442,3,28,0.357,0.304,0.838,0.055,0.070,0.079,0.905
197,3.847,3,2.032,4,1.450,3,28,0.364,0.287,0.828,0.057,0.072,0.081,0.894
198,3.875,3,2.087,4,1.450,3,28,0.339,0.292,0.843,0.049,0.073,0.083,0.909
199,2.888,2,1.631,3,0.971,2,18,0.285,0.198,0.550,0.039,0.049,0.051,0.592
200,3.783,3,2.033,4,1.392,3,26,0.359,0.278,0.780,0.055,0.067,0.077,0.843
201,2.968,2,1.741,3,0.948,2,18,0.279,0.191,0.546,0.037,0.045,0.051,0.589
202,4.014,3,2.026,4,1.637,3,30,0.351,0.273,0.837,0.050,0.076,0.091,0.913
203,3.811,3,2.031,4,1.415,3,27,0.365,0.287,0.795,0.070,0.068,0.078,0.861
204,2.653,2,1.507,3,0.871,2,16,0.276,0.181,0.476,0.039,0.040,0.050,0.514
205,2.880,2,1.535,3,1.061,2,19,0.283,0.199,0.652,0.033,0.050,0.057,0.701
206,3.890,3,2.013,4,1.443,3,28,0.434,0.288,0.845,0.053,0.072,0.083,0.912
207,2.938,2,1.663,3,0.976,2,18,0.300,0.203,0.558,0.045,0.045,0.054,0.602
208,6.848,6,3.577,7,2.665,6,35,0.606,0.721,1.349,0.165,0.089,0.102,1.433
209,2.693,2,1.530,3,0.890,2,15,0.273,0.200,0.483,0.034,0.039,0.044,0.519
210,3.715,3,1.964,4,1.387,3,27,0.364,0.281,0.793,0.053,0.068,0.078,0.858
211,2.851,2,1.509,3,1.046,2,17,0.296,0.206,0.564,0.034,0.043,0.053,0.611
212,2.815,2,1.578,3,0.959,2,18,0.278,0.199,0.552,0.041,0.044,0.054,0.599
213,2.763,2,1.533,3,0.955,2,18,0.274,0.198,0.549,0.037,0.048,0.051,0.592
214,2.825,2,1.535,3,1.010,2,19,0.280,0.214,0.586,0.037,0.046,0.057,0.633
