step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
195,0.121,4,0.054,5,0.060,4,4,0.007,0.000,0.000,0.000,0.000,0.000,0.000
196,0.148,4,0.059,5,0.077,4,4,0.012,0.000,0.000,0.000,0.000,0.000,0.000
197,0.145,4,0.063,5,0.073,4,4,0.009,0.000,0.000,0.000,0.000,0.000,0.000
198,0.134,4,0.061,5,0.063,4,4,0.010,0.000,0.000,0.000,0.000,0.000,0.000
199,0.130,4,0.058,5,0.060,4,4,0.012,0.000,0.000,0.000,0.000,0.000,0.000
200,0.143,4,0.071,5,0.061,4,4,0.011,0.000,0.000,0.000,0.000,0.000,0.000
201,0.161,4,0.080,5,0.072,4,4,0.009,0.000,0.000,0.000,0.000,0.000,0.000
202,0.130,4,0.062,5,0.060,4,4,0.008,0.000,0.000,0.000,0.000,0.000,0.000
203,0.145,4,0.067,5,0.067,4,4,0.011,0.000,0.000,0.000,0.000,0.000,0.000
204,0.143,4,0.065,5,0.069,4,4,0.009,0.000,0.000,0.000,0.000,0.000,0.000
205,0.141,4,0.065,5,0.064,4,4,0.012,0.000,0.000,0.000,0.000,0.000,0.000
206,0.134,4,0.061,5,0.062,4,4,0.011,0.000,0.000,0.000,0.000,0.000,0.000
207,0.141,4,0.064,5,0.071,4,4,0.007,0.000,0.000,0.000,0.000,0.000,0.000
208,0.139,4,0.060,5,0.069,4,4,0.011,0.000,0.000,0.000,0.000,0.000,0.000
209,0.141,4,0.061,5,0.072,4,4,0.007,0.000,0.000,0.000,0.000,0.000,0.000
210,0.138,4,0.064,5,0.066,4,4,0.009,0.000,0.000,0.000,0.000,0.000,0.000
211,0.137,4,0.064,5,0.064,4,4,0.009,0.000,0.000,0.000,0.000,0.000,0.000
212,0.136,4,0.060,5,0.066,4,4,0.010,0.000,0.000,0.000,0.000,0.000,0.000
213,0.099,3,0.046,4,0.045,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
214,0.117,3,0.052,4,0.056,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
215,0.104,3,0.048,4,0.047,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
216,0.104,3,0.046,4,0.046,3,3,0.011,0.000,0.000,0.000,0.000,0.000,0.000
217,0.113,3,0.048,4,0.059,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
218,0.096,3,0.041,4,0.047,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
219,0.107,3,0.050,4,0.051,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
220,0.112,3,0.049,4,0.055,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
221,0.217,3,0.071,4,0.135,3,3,0.011,0.000,0.000,0.000,0.000,0.000,0.000
222,0.102,3,0.044,4,0.048,3,3,0.010,0.000,0.000,0.000,0.000,0.000,0.000
223,0.109,3,0.054,4,0.047,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
224,0.165,3,0.077,4,0.077,3,3,0.011,0.000,0.000,0.000,0.000,0.000,0.000
225,0.125,3,0.061,4,0.057,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
226,0.088,3,0.037,4,0.044,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
227,0.103,3,0.050,4,0.045,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
228,0.098,3,0.043,4,0.046,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
229,0.102,3,0.041,4,0.051,3,3,0.010,0.000,0.000,0.000,0.000,0.000,0.000
230,0.121,3,0.044,4,0.068,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
231,0.099,3,0.041,4,0.048,3,3,0.010,0.000,0.000,0.000,0.000,0.000,0.000
232,0.105,3,0.049,4,0.046,3,3,0.010,0.000,0.000,0.000,0.000,0.000,0.000
